"Project","Location","Type","Buyer","Amount","AmountWan","Contractor","AwardTime","Confidence","Source"
"昆明市公安局西山分局无人机反制设备采购项目中标结果公告","昆明市","公共安全/军警安防","昆明市公安局西山分局","74.68 万元","74.68","浙江凡双科技股份有限公司","2025年10月16日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202510/t20251016_25519531.htm"
"石泉县公安局无人机反制设备采购项目中标（成交）结果公告","石泉县","侦测反制服务/租赁","石泉县公安局","16.88 万元","16.88","公开信息未披露","2025年09月30日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202509/t20250930_25447729.htm"
"保德县公安局无人机反制设备采购结果公告","山西省","公共安全/军警安防","保德县公安局","41.7 万元","41.7","公开信息未披露","2025年12月17日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202512/t20251217_25943334.htm"
"武汉市公安局黄陂区分局购买 无人机反制 枪项目 成交公告","公开信息未披露","公共安全/军警安防","武汉市公安局黄陂区分局","23.4 万元","23.4","公开信息未披露","2022年3月11日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202203/t20220311_17661394.htm"
"绵阳市公安局经济技术开发区分局 无人机反制设备中标（成交）结果公告","绵阳市经济开发区","公共安全/军警安防","绵阳市公安局经济技术开发区分局","34.3 万元","34.3","公开信息未披露","2024年12月03日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/cjgg/202412/t20241203_23775431.htm"
"无人机反制设备（第二批）采购项目中标(成交)结果公告","新疆维吾尔自治区","公共安全/军警安防","昌吉回族自治州公安局","158.78 万元","158.78","公开信息未披露","2025年09月18日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202509/t20250918_25371641.htm"
"某单位无人机反制系统采购项目中标公告","新疆维吾尔自治区","公共安全/军警安防","某单位","32.8 万元","32.8","星际控股集团有限公司","2024年05月28日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202405/t20240528_22217790.htm"
"兰州市公安局无人机反制设备购置中标公告","兰州市","公共安全/军警安防","兰州市公安局","64.8 万元","64.8","公开信息未披露","2023年09月14日","A-官方公告","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202309/t20230914_20704879.htm"
"某部无人机反制设备采购中标公告","成都市","公共安全/军警安防","某部","28.9 万元","28.9","四川省商投信息技术有限责任公司","2023年12月22日","A-官方公告","http://www.ccgp.gov.cn/cggg/zygg/zbgg/202312/t20231222_21326133.htm"
"南昌市 无人机反制 装备项目采购公告竞价 成交公告","江西","侦测反制装备","公开信息未披露","10.45 万元","10.45","公开信息未披露","2025年12月9日","B-公开转载","https://jx.bidcenter.com.cn/zbcontent-394187096-4.html"
"无人机反制设备竞价成交公告","北京","公共安全/军警安防","贵安新区公安局","36.97 万元","36.97","公开信息未披露","2025年08月27日","B-公开转载","https://www.bid110.com/view/824/y8cc55gBVX3Ep-czWBoe.html"
"某部无人机反制装备采购项目中标公告","北京","公共安全/军警安防","某部","46.3286 万元","46.3286","中国联合网络通信有限公司西双版纳傣族自治州分公司","2025年1月8日","B-公开转载","https://yn.zhiliaobiaoxun.com/article/49584401"
"无人机反制 系统 中标 成交结果公示-采招网 2024年2月1日","北京","侦测反制系统/平台","公开信息未披露","105 万元","105","理工全盛(北京)科技有限公司","2024年2月1日","B-公开转载","https://www.bidcenter.com.cn/newscontent-271172616-4.html"
"******","北京","侦测反制装备","公开信息未披露","91.65 万元","91.65","的信息，否则将视为无效短信。工作时间为周一至周五（8:00至11:30、14:30至17:30））","2025年09月23日","B-公开转载","https://www.chinamae.com/purchases/c19cea9e9971d343612d7ae4fe77f8a3.html"
"达坂城区 无人机反制 系统竞价 成交公告","新疆","侦测反制系统/平台","公开信息未披露","24.3 万元","24.3","公开信息未披露","2025年5月23日","B-公开转载","https://xj.bidcenter.com.cn/zbcontent-356752206-4.html"
"无人机反制枪采购成交公告","漳浦县","公共安全/军警安防","某单位","13.8 万元","13.8","南京千里眼航空科技有限公司","2022年12月30日","B-公开转载","https://www.bid110.com/view/537/qrsdYYUBzcw65Br6g3R8.html"
"******","北京","侦测反制装备","公开信息未披露","186 万元","186","的信息，否则将视为无效短信。工作时间为周一至周五（8:00至11:30、14:30至17:30））","2025年09月23日","B-公开转载","https://www.chinamae.com/purchases/567ae03600cb204b61a6bdc2ff593907.html"
"无人机反制 系统采购项目( 中标公告","北京","侦测反制系统/平台","公开信息未披露","186.0544 万元","186.0544","公开信息未披露","2025年12月1日","B-公开转载","https://gs.bidizhaobiao.com/info-752059557.html"
"沈阳铁路公安局无人机反制系统采购项目中标公告","北京","公共安全/军警安防","沈阳铁路公安局","224.985 万元","224.985","北京延创科技有限责任公司","2026年4月3日","B-公开转载","https://www.zhiliaobiaoxun.com/article/95098321"
