"主需求类别","兼具需求类别","软硬件属性","分类依据","分类置信度","项目ID","省份","省内城市区域","项目名称","项目类型","项目阶段","是否直接侦测反制相关","发包采购单位","项目金额","金额万元","承建中标单位","中标公告时间","年份","来源等级","字段完整度","来源链接","证据摘要","核验备注","设备名称清单","设备类型清单","设备数量清单","设备规格型号清单","设备品牌清单","设备明细完整度","设备明细来源","设备明细备注"
"日常巡防需求","无明显兼具类别","服务/租赁/咨询","未命中特定场景，按低空常态监测默认归入日常巡防","高","LA-2024-0001","安徽","池州","安徽铁塔池州市分公司 无人机反制 服务项目(第二次)( 中标公告","侦测反制服务/租赁","中标/成交结果","是","安徽铁塔池州市分公司","公开信息未披露","","公开信息未披露","2024年12月3日","2024","B-公开转载/行业平台","较完整","http://ah.bidizhaobiao.com/info-564361601.html","安徽铁塔池州市分公司 无人机反制 服务项目(第二次)( 中标公告 )-安徽招标网 2024年12月3日 - 二、项目 名称 :安徽铁塔池州市分公司 无人机 反制服务项目(第二次).对 安徽铁塔池州市分公司 无人机反制 服务项目(第二次) 进行国内公开比选 转定向谈判 。... ah.bidizhaobiao.com 反馈","继承原库并规则复核","无人机侦测反制/低空管控服务","服务/租赁","无人机侦测反制/低空管控服务：1项服务","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断服务包；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","高","LA-2025-0002","安徽","未识别","无人机反制 设备采购项目( 中标公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","安徽中云智能科技有限公司","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://hunan.bidizhaobiao.com/info-750910893.html","无人机反制 设备采购项目( 中标公告 )-湖南招标网 2025年12月1日 - 项目编号 2025-JJDCBB-W4050 资质要求 - 招标/采购内容 成交 金额 2.33万元 中标 单位 . 供应商 名称:安徽中云智能科技有限公司... hunan.bidizhaobiao.com 反馈","继承原库并规则复核","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","含公安巡防/常态监管关键词","高","LA-2026-0003","安徽","黄山","黄山市公安局黄山分局H2LPro手持式无人机探测定位设备采购项目","侦测反制装备","中标/成交结果","是","黄山市公安局黄山分局","6.0000 万元","6.0","公开信息未披露","2026-02-02","2026","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：华诺星空H2LPro手持式无人机探测定位设备，成交金额60000元。","补充检索新增；待回溯官方原文","H2LPro手持式无人机探测定位设备","侦测探测设备","H2LPro手持式无人机探测定位设备：公开信息未披露","H2LPro手持式无人机探测定位设备：H2LPro","H2LPro手持式无人机探测定位设备：华诺星空","部分明细","项目名称与证据摘要披露设备名称/型号","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"重大活动保障需求","日常巡防需求","服务/租赁/咨询","含赛事/活动/安保保障/阵地租赁关键词；含公安巡防/常态监管关键词","高","LA-2026-0004","安徽","宣城","宣城市公安局低空安全管控装备租赁服务采购项目","侦测反制服务/租赁","中标/成交结果","是","宣城市公安局","167.5000 万元","167.5","安徽省通航无人机服务有限公司","2026-05-06","2026","A-官方公告/公共资源","完整","https://ggzyjy.xuancheng.gov.cn/xcspfront/zfcg/017001/017001004/20260506/31e1b449-bf7d-4768-b057-13340e9fabcc.html","宣城市公共资源交易中心成交结果公告披露：低空安全管控装备租赁服务，成交金额1675000元；需求文本含日常工作及重大活动补充保障服务。","漏检补充；重大活动保障高概率打包项目","低空安全管控装备租赁服务","服务/租赁","低空安全管控装备租赁服务：1项服务","公开信息未披露","公开信息未披露","部分明细","成交公告项目名称及需求摘要；具体设备数量未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","未命中特定场景，按低空常态监测默认归入日常巡防","高","LA-2024-0005","北京","北京","无人机反制 系统 中标 成交结果公示-采招网 2024年2月1日","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","105.0000 万元","105","理工全盛(北京)科技有限公司","2024年2月1日","2024","B-公开转载/行业平台","较完整","https://www.bidcenter.com.cn/newscontent-271172616-4.html","无人机反制 系统 中标 成交结果公示-采招网 2024年2月1日 - 五、预 中标 (成交) 供应商 . 名称 :理工全盛(北京)科技有限公司, 报价 金额 1,050,000.00元 ; 地址:北京市海淀区知春路76号(写字楼)1号楼4层1-7。. 供应商 对... www.bidcenter.com.cn 反馈","继承原库并规则复核","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"敏感目标防护需求","无明显兼具类别","软硬件综合/系统平台","未命中特定场景，按低空常态监测默认归入日常巡防","高","LA-2025-0006","北京","石景山","无人机领域综合科研专项-无人机学院实验室建设采购项目","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","公开信息未披露","","北京君锋泰业科技有限公司","2025-11-21","2025","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：项目含低空防御管控平台、无人机管制干扰枪等，中标单位北京君锋泰业科技有限公司。","补充检索新增；科研/实训平台类","低空防御管控平台；无人机管制干扰枪","系统平台/管控软件；便携/手持反制设备","低空防御管控平台：公开信息未披露；无人机管制干扰枪：公开信息未披露","公开信息未披露","公开信息未披露","部分明细","证据摘要披露设备内容","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","未命中特定场景，按低空常态监测默认归入日常巡防","低","LA-2025-0007","福建","未识别","无人机反制 、定位设备采购项目采购结果公示-福建招标网 2025年4月3日","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年4月3日","2025","B-公开转载/行业平台","待复核","https://fj.bidcenter.com.cn/zbcontent-347248109-4.html","无人机反制 、定位设备采购项目采购结果公示-福建招标网 2025年4月3日 - 定位设备采购项目采购结果公示;项目简介:我部对 无人机反制 、定位设备采购项目采购项目进行了询价采购,现就 供应商 评审排名及预中标( 成交 )结果... fj.bidcenter.com.cn 反馈","继承原库并规则复核","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","硬件设备/装备","含公安巡防/常态监管关键词","高","LA-2023-0008","甘肃","兰州","兰州市公安局无人机反制设备购置中标公告","侦测反制装备","中标/成交结果","是","兰州市公安局","64.8000 万元","64.8","公开信息未披露","2023年09月14日","2023","A-官方公告/公共资源","较完整","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202309/t20230914_20704879.htm","兰州市公安局 无人机反制 设备购置 中标公告 2023年9月14日 - 王浩 项目联.... 公告 信息: 采购项目 名称 兰州市公安局 无人机反制 设备购置 品目 货物/通用设备/通信设备/天线/其... 王浩 总 中标金额 ￥64.800000 ... www.ccgp.gov.cn 反馈","继承原库并规则复核","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","未命中特定场景，按低空常态监测默认归入日常巡防","高","LA-2025-0009","甘肃","兰州","甘肃煤田地质局综合普查队固定式无人机侦测反制系统中标公告","侦测反制系统/平台","中标/成交结果","是","甘肃煤田地质局综合普查队","100.5000 万元","100.5","兰州未徕同创测绘科技有限公司","2025-11-05","2025","B-公开转载/行业平台","完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：固定式无人机侦测反制系统，中标单位兰州未徕同创测绘科技有限公司，中标金额100.5万元。","补充检索新增；待回溯官方原文","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","未命中特定场景，按低空常态监测默认归入日常巡防","高","LA-2025-0010","甘肃","未识别","无人机反制 系统采购项目( 中标公告","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","186.0544 万元","186.0544","公开信息未披露","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://gs.bidizhaobiao.com/info-752059557.html","无人机反制 系统采购项目( 中标公告 )-甘肃招标网 2025年12月1日 - 五、预 中标 (成交) 供应商 . 名称 :北京晶空信息科技有限责任公司,报价 金额 1,860,543.94元;地址:北京市朝阳区潘家园街道北京汽车大厦1602。. 供应商 对预中标... gs.bidizhaobiao.com 反馈","依据项目名/采购人/证据摘要从[北京]校正为[甘肃]","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
