"项目ID","省份","省内城市区域","项目名称","发包采购单位","承建中标单位","中标公告时间","年份","设备序号","设备名称","设备类型","数量","单位","品牌","规格型号","明细依据","明细置信度","来源链接"
"LA-2024-0001","安徽","池州","安徽铁塔池州市分公司 无人机反制 服务项目(第二次)( 中标公告","安徽铁塔池州市分公司","公开信息未披露","2024年12月3日","2024","1","无人机侦测反制/低空管控服务","服务/租赁","1","项服务","公开信息未披露","公开信息未披露","按项目类型推断服务包；具体设备未披露","低","http://ah.bidizhaobiao.com/info-564361601.html"
"LA-2025-0002","安徽","未识别","无人机反制 设备采购项目( 中标公告","公开信息未披露","安徽中云智能科技有限公司","2025年12月1日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://hunan.bidizhaobiao.com/info-750910893.html"
"LA-2026-0003","安徽","黄山","黄山市公安局黄山分局H2LPro手持式无人机探测定位设备采购项目","黄山市公安局黄山分局","公开信息未披露","2026-02-02","2026","1","H2LPro手持式无人机探测定位设备","侦测探测设备","公开信息未披露","公开信息未披露","华诺星空","H2LPro","项目名称与证据摘要披露设备名称/型号","中","https://www.bbda.com/bidList/k1295"
"LA-2026-0004","安徽","宣城","宣城市公安局低空安全管控装备租赁服务采购项目","宣城市公安局","安徽省通航无人机服务有限公司","2026-05-06","2026","1","低空安全管控装备租赁服务","服务/租赁","1","项服务","公开信息未披露","公开信息未披露","成交公告项目名称及需求摘要；具体设备数量未披露","中","https://ggzyjy.xuancheng.gov.cn/xcspfront/zfcg/017001/017001004/20260506/31e1b449-bf7d-4768-b057-13340e9fabcc.html"
"LA-2024-0005","北京","北京","无人机反制 系统 中标 成交结果公示-采招网 2024年2月1日","公开信息未披露","理工全盛(北京)科技有限公司","2024年2月1日","2024","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://www.bidcenter.com.cn/newscontent-271172616-4.html"
"LA-2025-0006","北京","石景山","无人机领域综合科研专项-无人机学院实验室建设采购项目","公开信息未披露","北京君锋泰业科技有限公司","2025-11-21","2025","1","低空防御管控平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","证据摘要披露设备内容","中","https://www.bbda.com/bidList/k1295"
"LA-2025-0006","北京","石景山","无人机领域综合科研专项-无人机学院实验室建设采购项目","公开信息未披露","北京君锋泰业科技有限公司","2025-11-21","2025","2","无人机管制干扰枪","便携/手持反制设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","证据摘要披露设备内容","中","https://www.bbda.com/bidList/k1295"
"LA-2025-0007","福建","未识别","无人机反制 、定位设备采购项目采购结果公示-福建招标网 2025年4月3日","公开信息未披露","公开信息未披露","2025年4月3日","2025","1","无人机侦测反制设备/装备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目名称/项目类型推断；具体设备未披露","低","https://fj.bidcenter.com.cn/zbcontent-347248109-4.html"
"LA-2023-0008","甘肃","兰州","兰州市公安局无人机反制设备购置中标公告","兰州市公安局","公开信息未披露","2023年09月14日","2023","1","无人机反制设备","侦测反制装备/设备","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","项目名称/证据摘要关键词抽取；公开信息未见数量","低","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202309/t20230914_20704879.htm"
"LA-2025-0009","甘肃","兰州","甘肃煤田地质局综合普查队固定式无人机侦测反制系统中标公告","甘肃煤田地质局综合普查队","兰州未徕同创测绘科技有限公司","2025-11-05","2025","1","无人机侦测反制系统/平台","系统平台/管控软件","公开信息未披露","公开信息未披露","公开信息未披露","公开信息未披露","按项目类型推断；具体设备未披露","低","https://www.bbda.com/bidList/k1295"
