"项目ID","省份","省内城市区域","项目名称","项目类型","项目阶段","是否直接侦测反制相关","发包采购单位","项目金额","金额万元","承建中标单位","中标公告时间","年份","来源等级","字段完整度","来源链接","证据摘要","核验备注","设备名称清单","设备类型清单","设备数量清单","设备规格型号清单","设备品牌清单","设备明细完整度","设备明细来源","设备明细备注"
"LA-2024-0011","广东","深圳","福田公安分局 无人机反制 装备和防护装备采购项目 中标公告","侦测反制装备","中标/成交结果","是","深圳市公安局福田分局","公开信息未披露","","公开信息未披露","2024年8月30日","2024","A-官方公告/公共资源","较完整","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202408/t20240830_23040118.htm","福田公安分局 无人机反制 装备和防护装备采购项目 中标公告 2024年8月30日 - 公告 信息: 采购项目 名称 福田公安分局 无人机反制 装备和防护装备采购项目 品目 防护防暴装备.采购单位 深圳市公安局福田分局 行政区域 福田区 公... www.ccgp.gov.cn 反馈","继承原库并规则复核","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2024-0012","广东","未识别","某单位采购无人机反制设备项目","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2024-08-30","2024","B-公开转载/行业平台","待复核","https://www.zhiliaobiaoxun.com/detail/448113967b2E1A03245c.html","某单位采购 无人机反制设备 项目 中标 候选人公示_广东 中标 -知了标讯 2024年8月30日 - 中标 候选人 无人机反制设备 项目基本信息.四、凡对本次 公告 内容提出询问,请按以下方式联系。... www.zhiliaobiaoxun.com 反馈","继承原库并规则复核","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2024-0013","广东","珠海横琴","横琴粤澳深度合作区公安局重大活动安保无人机防控服务政府采购项目","侦测反制服务/租赁","中标/成交结果","是","横琴粤澳深度合作区公安局","157.2875 万元","157.2875","中国移动通信集团广东有限公司珠海分公司","2024-12-18","2024","A-官方公告/公共资源","完整","https://hengqin.gd.gov.cn/gkmlpt/content/4/4617/post_4617550.html","广东政府公开页面披露：重大活动安保无人机防控服务，中标供应商中国移动广东珠海分公司，中标金额1,572,875.00元。","补充检索新增；重大活动保障类","重大活动安保无人机防控服务","服务/租赁","重大活动安保无人机防控服务：1项服务","公开信息未披露","公开信息未披露","部分明细","政府采购结果公告披露服务项目；具体设备数量未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0014","广东","广州","南方电网公司2025年第三批无人机设备及相关附件框架采购项目（固定式无人机主动防御系统、便携式无人机反制装置）","侦测反制装备","中标/成交结果","是","中国南方电网有限责任公司/南方电网供应链集团有限公司","公开信息未披露","","南方电网电力科技股份有限公司","2025-12-09","2025","A-官方公告/公共资源","较完整","https://www.bidding.csg.cn/zbhxrgs/1200396902.jhtml","南方电网供应链平台中标公示披露：标的含固定式无人机主动防御系统A、便携式无人机反制装置B，中标候选人为南方电网电力科技股份有限公司。","补充检索新增；能源敏感目标类","固定式无人机主动防御系统；便携式无人机反制装置","固定式反制/防御设备；便携/手持反制设备","固定式无人机主动防御系统：公开信息未披露；便携式无人机反制装置：公开信息未披露","公开信息未披露","公开信息未披露","部分明细","南方电网供应链平台标的名称披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0015","广东","惠州","惠州市公安局大亚湾经济技术开发区分局大亚湾石化区天海地一体化综合防控系统建设项目（第二次）","侦测反制系统/平台","中标/成交结果","是","惠州市公安局大亚湾经济技术开发区分局","公开信息未披露","","公开信息未披露","2025-12-15","2025","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：标的含低空防御雷达显控软件、无人机防御察打一体机等。","补充检索新增；石化区敏感目标类","低空防御雷达显控软件；无人机防御察打一体机","系统平台/管控软件；察打一体侦测反制设备","低空防御雷达显控软件：公开信息未披露；无人机防御察打一体机：公开信息未披露","公开信息未披露","公开信息未披露","部分明细","证据摘要披露标的内容","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0016","广东","江门台山","台山核电低空防御系统相关设备采购成交项目","侦测反制系统/平台","中标/成交结果","是","台山核电合营有限公司/中广核相关单位","公开信息未披露","","中广核数字科技有限公司","2025-12-12","2025","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：低空防御系统设备采购成交，中标单位中广核数字科技有限公司。","补充检索新增；核电敏感目标类","低空防御系统","系统平台/管控软件","低空防御系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0017","广东","深圳","东部电厂固定式 无人机反制 防御系统设备采购( 中标公告","侦测反制系统/平台","合同公告","是","公开信息未披露","公开信息未披露","","深圳能源集团股份有限公司","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://gd.bidizhaobiao.com/info-723547342.html","东部电厂固定式 无人机反制 防御系统设备采购( 中标公告 )-广东招标网 2025年12月1日 - 您当天剩余次查看 公告 原文链接,是否消耗一次. 中 标 公 告 深圳能源集团股份有限公司的东部电厂固定式 无人机反制 防御系统设备采购合同寻源工作,于2025-... gd.bidizhaobiao.com 反馈","继承原库并规则复核","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0018","广东","深圳","龙华分局购置十五运无人机反制设备采购项目","侦测反制装备","中标/成交结果","是","深圳市公安局龙华分局","95.5000 万元","95.5","江门市亿豪警用装备科技有限公司","2025-08-21","2025","B-公开转载/行业平台","完整","https://www.szyd11.com/tender/win/detail?TenderId=16753","公开招标代理结果页披露：龙华分局购置十五运无人机反制设备采购项目，中标单位江门市亿豪警用装备科技有限公司。","人工核验补充","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0160","广东","茂名","广东省茂名监狱低空域智能警戒巡防系统采购项目","侦测反制系统/平台","中标/成交结果","是","广东省茂名监狱","425.5200 万元","425.52","中国电信股份有限公司广东分公司","2025-05-22","2025","A-官方公告/公共资源","完整","https://gdgpo.czt.gd.gov.cn/freecms/site/gd/ggxx/info/2025/8a7e6fc396d4b9610196e214d7bf710f.html","广东政府采购智慧云平台结果公告披露：广东省茂名监狱低空域智能警戒巡防系统采购项目，中国电信股份有限公司广东分公司中标，中标金额425.52万元。","项目名称深度检索补入；司法监狱低空域智能警戒巡防系统样本","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0161","广东","广州","广东警官学院无人机数智低空警务工程实训教学平台建设项目(二次)","侦测反制系统/平台","中标/成交结果","是","广东警官学院","135.0069 万元","135.0069","广州成至智能机器科技有限公司","2025-03-10","2025","A-官方公告/公共资源","完整","https://gdgpo.czt.gd.gov.cn/freecms/site/gd/ggxx/info/2025/8a7edac09573cf4201957ae65f634c5f.html","广东政府采购智慧云平台结果公告披露：广东警官学院无人机数智低空警务工程实训教学平台建设项目（二次），广州成至智能机器科技有限公司中标，中标金额135.0069万元。","项目名称深度检索补入；低空警务实训平台样本","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
