"主需求类别","兼具需求类别","软硬件属性","省份","省内城市区域","项目名称","发包采购单位","项目金额","承建中标单位","中标公告时间","来源等级","字段完整度","来源链接","核验备注"
"日常巡防需求","无明显兼具类别","服务/租赁/咨询","安徽","池州","安徽铁塔池州市分公司 无人机反制 服务项目(第二次)( 中标公告","安徽铁塔池州市分公司","公开信息未披露","公开信息未披露","2024年12月3日","B-公开转载/行业平台","较完整","http://ah.bidizhaobiao.com/info-564361601.html","继承原库并规则复核"
"日常巡防需求","无明显兼具类别","硬件设备/装备","安徽","未识别","无人机反制 设备采购项目( 中标公告","公开信息未披露","公开信息未披露","安徽中云智能科技有限公司","2025年12月1日","B-公开转载/行业平台","较完整","https://hunan.bidizhaobiao.com/info-750910893.html","继承原库并规则复核"
"日常巡防需求","无明显兼具类别","硬件设备/装备","安徽","黄山","黄山市公安局黄山分局H2LPro手持式无人机探测定位设备采购项目","黄山市公安局黄山分局","6.0000 万元","公开信息未披露","2026-02-02","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","补充检索新增；待回溯官方原文"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","北京","北京","无人机反制 系统 中标 成交结果公示-采招网 2024年2月1日","公开信息未披露","105.0000 万元","理工全盛(北京)科技有限公司","2024年2月1日","B-公开转载/行业平台","较完整","https://www.bidcenter.com.cn/newscontent-271172616-4.html","继承原库并规则复核"
"敏感目标防护需求","无明显兼具类别","软硬件综合/系统平台","北京","石景山","无人机领域综合科研专项-无人机学院实验室建设采购项目","公开信息未披露","公开信息未披露","北京君锋泰业科技有限公司","2025-11-21","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","补充检索新增；科研/实训平台类"
"日常巡防需求","无明显兼具类别","硬件设备/装备","福建","未识别","无人机反制 、定位设备采购项目采购结果公示-福建招标网 2025年4月3日","公开信息未披露","公开信息未披露","公开信息未披露","2025年4月3日","B-公开转载/行业平台","待复核","https://fj.bidcenter.com.cn/zbcontent-347248109-4.html","继承原库并规则复核"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","甘肃","兰州","甘肃煤田地质局综合普查队固定式无人机侦测反制系统中标公告","甘肃煤田地质局综合普查队","100.5000 万元","兰州未徕同创测绘科技有限公司","2025-11-05","B-公开转载/行业平台","完整","https://www.bbda.com/bidList/k1295","补充检索新增；待回溯官方原文"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","甘肃","未识别","无人机反制 系统采购项目( 中标公告","公开信息未披露","186.0544 万元","公开信息未披露","2025年12月1日","B-公开转载/行业平台","较完整","https://gs.bidizhaobiao.com/info-752059557.html","依据项目名/采购人/证据摘要从[北京]校正为[甘肃]"
"日常巡防需求","无明显兼具类别","硬件设备/装备","广东","未识别","某单位采购无人机反制设备项目","公开信息未披露","公开信息未披露","公开信息未披露","2024-08-30","B-公开转载/行业平台","待复核","https://www.zhiliaobiaoxun.com/detail/448113967b2E1A03245c.html","继承原库并规则复核"
"敏感目标防护需求","日常巡防需求","软硬件综合/系统平台","广东","惠州","惠州市公安局大亚湾经济技术开发区分局大亚湾石化区天海地一体化综合防控系统建设项目（第二次）","惠州市公安局大亚湾经济技术开发区分局","公开信息未披露","公开信息未披露","2025-12-15","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","补充检索新增；石化区敏感目标类"
"敏感目标防护需求","无明显兼具类别","软硬件综合/系统平台","广东","江门台山","台山核电低空防御系统相关设备采购成交项目","台山核电合营有限公司/中广核相关单位","公开信息未披露","中广核数字科技有限公司","2025-12-12","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","补充检索新增；核电敏感目标类"
"敏感目标防护需求","无明显兼具类别","软硬件综合/系统平台","广东","深圳","东部电厂固定式 无人机反制 防御系统设备采购( 中标公告","公开信息未披露","公开信息未披露","深圳能源集团股份有限公司","2025年12月1日","B-公开转载/行业平台","较完整","https://gd.bidizhaobiao.com/info-723547342.html","继承原库并规则复核"
"重大活动保障需求","日常巡防需求","硬件设备/装备","广东","深圳","龙华分局购置十五运无人机反制设备采购项目","深圳市公安局龙华分局","95.5000 万元","江门市亿豪警用装备科技有限公司","2025-08-21","B-公开转载/行业平台","完整","https://www.szyd11.com/tender/win/detail?TenderId=16753","人工核验补充"
"敏感目标防护需求","日常巡防需求","硬件设备/装备","广东","深圳","深圳市公安局罗湖分局2025年下半年分局无人机及侦测反制设备采购项目（重新招标）","深圳市公安局罗湖分局","331.9600 万元","中科星图股份有限公司","2026-01-19","B-公开转载/行业平台","完整","https://www.aamshanghai.com/jiangsu-yancheng-low-drone-bidding.html","人工核验补充；待回溯深圳政府采购原文"
"日常巡防需求","无明显兼具类别","服务/租赁/咨询","广西","钦州","钦州市某单位采购 无人机反制设备 ( 中标公告","公开信息未披露","公开信息未披露","广西正阳科技发展有限公司","2025年12月1日","B-公开转载/行业平台","较完整","https://gx.bidizhaobiao.com/info-736635266.html","继承原库并规则复核"
"日常巡防需求","无明显兼具类别","硬件设备/装备","贵州","贵安","无人机反制设备竞价成交公告","贵安新区公安局","36.9700 万元","公开信息未披露","2025年08月27日","B-公开转载/行业平台","较完整","https://www.bid110.com/view/824/y8cc55gBVX3Ep-czWBoe.html","依据项目名/采购人/证据摘要从[北京]校正为[贵州]"
"日常巡防需求","无明显兼具类别","硬件设备/装备","贵州","贵阳","贵阳市 无人机反制 设备竞价 成交公告","公开信息未披露","公开信息未披露","公开信息未披露","2025年8月12日","B-公开转载/行业平台","待复核","https://gz.bidcenter.com.cn/zbcontent-373871343-4.html","继承原库并规则复核"
"日常巡防需求","无明显兼具类别","硬件设备/装备","贵州","黔东南","黔东南州公安局采购无人机及无人机反制设备中标（成交）公告","贵州省黔东南苗族侗族自治州公安局","公开信息未披露","公开信息未披露","2025年11月7日","B-公开转载/行业平台","较完整","https://www.bid110.com/view/461/WMJSXJoBg7S5K-631FlI.html","依据项目名/采购人/证据摘要从[北京]校正为[贵州]"
"日常巡防需求","无明显兼具类别","服务/租赁/咨询","贵州","贵阳","贵阳市公安局无人机反制设备采购项目","贵阳市公安局","公开信息未披露","公开信息未披露","2026年5月7日","B-公开转载/行业平台","较完整","https://www.okcis.cn/20260507-n3-20260507234734360225.html","修正：原发包采购单位字段误入整段转载摘要，按摘要中明确采购主体更正；具体分局待回溯官方原文"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","贵州","未识别","无人机反制 系统采购项目 中标 (成交)结果公示 2026年3月24日","公开信息未披露","公开信息未披露","公开信息未披露","2026年3月24日","B-公开转载/行业平台","待复核","https://www.okcis.cn/20260324-n3-20260324160318206335.html","继承原库并规则复核"
"敏感目标防护需求","无明显兼具类别","软硬件综合/系统平台","河北","唐山","陡河水库 无人机反制系统 双盲评审公开招标 中标公告","唐山市陡河水库事务中心","公开信息未披露","公开信息未披露","2025年6月19日","B-公开转载/行业平台","较完整","https://www.bidcenter.com.cn/news-362127167-4.html","继承原库并规则复核"
"日常巡防需求","无明显兼具类别","软硬件综合/系统平台","河北","秦皇岛","秦皇岛市公安局无人机管控前端系统升级项目","秦皇岛市公安局","279.5000 万元","中国铁塔股份有限公司秦皇岛市分公司、河北梓墨电子科技有限公司","2026-03-30","B-公开转载/行业平台","完整","https://www.aamshanghai.com/jiangsu-yancheng-low-drone-bidding.html","补充检索新增；常态化管控类"
