"项目ID","省份","省内城市区域","项目名称","项目类型","项目阶段","是否直接侦测反制相关","发包采购单位","项目金额","金额万元","承建中标单位","中标公告时间","年份","来源等级","字段完整度","来源链接","证据摘要","核验备注","设备名称清单","设备类型清单","设备数量清单","设备规格型号清单","设备品牌清单","设备明细完整度","设备明细来源","设备明细备注"
"LA-2024-0108","新疆","未识别","无人机反制 设备竞价 成交公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2024年9月11日","2024","B-公开转载/行业平台","待复核","https://rl.zhaobiao.cn/succeed_v_630b3f8e3205b4b7bf2a1f67c810efa3.html","无人机反制 设备竞价 成交公告 _招标日历_招标网 2024年9月11日 - 招标编号 62024081023009114 所属地区 新疆维吾尔自治区阿克苏地区发布日期 2024-09-11 截止日期 -- 采购业主 -- 招标公司 -- 联系人 -- 联系方式 -- ... rl.zhaobiao.cn 反馈","修正：原发包采购单位为“--”，规范为公开信息未披露","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2024-0109","新疆","乌什","乌什县公安局购买无人机反制装备采购项目（二次）","侦测反制装备","合同公告","是","乌什县公安局","公开信息未披露","","公开信息未披露","2024年9月27日","2024","B-公开转载/行业平台","较完整","https://xinjiang.zhaobiao.cn/succeed_v_100563878.html","公开转载合同/结果摘要显示：乌什县公安局购买无人机反制装备采购项目（二次），公告日期2024年9月27日。","修正：原发包采购单位字段误入项目标题和转载摘要，按明确采购主体更正","无人机反制装备","侦测反制装备/设备","无人机反制装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2024-0110","新疆","新疆维吾尔自治区","某单位无人机反制系统采购项目中标公告","侦测反制系统/平台","中标/成交结果","是","某单位","32.8000 万元","32.8","星际控股集团有限公司","2024年05月28日","2024","A-官方公告/公共资源","完整","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202405/t20240528_22217790.htm","某单位 无人机反制 系统采购项目 中标公告 2024年5月28日 - 序号 供应商名称 货物 名称 货物品牌 货物型号 货物数量 货物单价(元) 1 星际控股集团有限公司 无人机反制 / XJ-HNTD-1、WRJG-SC06 1 328000 ... www.ccgp.gov.cn 反馈","继承原库并规则复核","无人机反制系统","系统平台/管控软件","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0111","新疆","巴音郭楞","无人机反制设备采购竞价成交公告","侦测反制装备","中标/成交结果","是","新疆维吾尔自治区巴音郭楞某单位","公开信息未披露","","新疆轩志信息科技有限公司","2025年02月25日","2025","B-公开转载/行业平台","较完整","https://www.jianyu360.cn/article/bdprivate/BVrMiE7ZXMBZQ4oJCc7NCMKH3FlXU8OWRYgKyMjBwJVeXZ1IApcB%2BA%3D.html","无人机反制 设备采购竞价 成交公告 - 剑鱼标讯 2025年2月25日 - 无人机反制 设备采购竞价 成交公告 ,采购单位:新疆维吾尔自治区巴音郭楞某单位, 成交供应 商 :新疆轩志信息科技有限公司, 公告 日期:2025年02月25日,查看该项... www.jianyu360.cn 反馈","依据项目名/采购人/证据摘要从[北京]校正为[新疆]","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0112","新疆","昌吉","无人机反制设备（第二批）采购项目中标(成交)结果公告","侦测反制装备","中标/成交结果","是","昌吉回族自治州公安局","158.7800 万元","158.78","公开信息未披露","2025年09月18日","2025","A-官方公告/公共资源","较完整","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202509/t20250918_25371641.htm","无人机反制设备 (第二批)采购项目 中标 (成交)结果 公告 2025年9月18日 - 二、项目名称: 无人机 反制设备(第二批)采购项目.序号 供应商名称 供应商地址 中标 (成交)金额 评审报价 1 江苏锐盾警用装备制造有限公司 靖江市城南园区... www.ccgp.gov.cn 反馈","继承原库并规则复核","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0113","新疆","达坂城","达坂城区 无人机反制 系统竞价 成交公告","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","24.3000 万元","24.3","公开信息未披露","2025年5月23日","2025","B-公开转载/行业平台","较完整","https://xj.bidcenter.com.cn/zbcontent-356752206-4.html","达坂城区 无人机反制 系统竞价 成交公告 -新疆招标网 2025年5月23日 - 成交供应 商名称 、联系地址及 成交金额 :.总成交金额:24.3(万元)... xj.bidcenter.com.cn 反馈","继承原库并规则复核","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0114","新疆","克州","克州GAJ（特警支队）无人机反制侦测相关设备采购项目","侦测反制装备","合同公告","是","克州GAJ（特警支队）","公开信息未披露","","新疆尚维飞创电子科技有限公司","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://xj.bidizhaobiao.com/info-599920271.html","新疆招标网转载合同摘要显示：克州GAJ（特警支队）无人机反制侦测相关设备采购项目合同，供应商为新疆尚维飞创电子科技有限公司。","修正：原发包采购单位字段误入整段合同摘要，保留可识别采购主体和供应商","手持无人机侦测设备","侦测探测设备","手持无人机侦测设备：4套","手持无人机侦测设备：RD-H2L","手持无人机侦测设备：锐盾","部分明细","证据摘要披露“手持无人机侦测设备 锐盾 RD-H2L 4”","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0115","新疆","墨玉","墨玉县某单位 无人机 及 反制 设备二次 中标 结果-采招网 2025年12月17日","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年12月17日","2025","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/news-396480806-4.html","墨玉县某单位 无人机 及 反制 设备二次 中标 结果-采招网 2025年12月17日 - 二、项目名称: 墨玉县某单位 无人机 及反制设备采购项目(二次).序号 供应商名称 供应商地址 中标 (成交)金额 评审总得分 1 新疆 (略) 新疆乌鲁木 (略) ( ... www.bidcenter.com.cn 反馈","继承原库并规则复核","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0116","新疆","未识别","无人机反制系统及无人机机场式巡逻系统采购项目","侦测反制系统/平台","中标/成交结果","是","兵团第二单位","公开信息未披露","","公开信息未披露","2025年10月30日","2025","B-公开转载/行业平台","较完整","https://www.chinabiddingzb.com/read-670286095.html","公开转载结果页摘要显示：无人机反制系统及无人机机场式巡逻系统采购项目，中标（成交）结果公告，发布时间2025年10月30日，采购主体摘要为兵团第二单位。","修正：原发包采购单位字段误入整段转载摘要，按摘要可识别主体更正；具体单位全称待回溯官方原文","无人机反制系统","系统平台/管控软件","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0117","新疆","乌鲁木齐","无人机反制系统采购项目","侦测反制系统/平台","中标/成交结果","是","某单位","28.8000 万元","28.8","新疆乾元商贸有限公司","2025-03-28","2025","A-官方公告/公共资源","完整","https://www.ccgp.gov.cn/cggg/dfgg/zbgg/202503/t20250328_24369730.htm","中国政府采购网中标公告披露：行政区域新疆维吾尔自治区，总中标金额28.8万元，服务名称为无人机探测防御察打一体化平台。","人工核验补充","无人机反制系统","察打一体侦测反制设备","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
