"项目ID","省份","省内城市区域","项目名称","项目类型","项目阶段","是否直接侦测反制相关","发包采购单位","项目金额","金额万元","承建中标单位","中标公告时间","年份","来源等级","字段完整度","来源链接","证据摘要","核验备注","设备名称清单","设备类型清单","设备数量清单","设备规格型号清单","设备品牌清单","设备明细完整度","设备明细来源","设备明细备注"
"LA-2023-0086","未识别","未识别","基站式 无人机反制 设备采购项目 中标 结果 公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2023年2月10日","2023","A-官方公告/公共资源","待复核","http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202302/t20230210_19438686.htm","基站式 无人机反制 设备采购项目 中标 结果 公告 2023年2月10日 - 二、项目 名称 :基站式 无人机反制 设备.2023年02月10日 16:14 来源:中国政府采购网 【打印】 【显示 公告 概要】... www.ccgp.gov.cn 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2024-0087","未识别","未识别","某单位便携式 无人机反制 枪 成交公告","侦测反制装备","中标/成交结果","是","某单位","公开信息未披露","","公开信息未披露","2024年12月25日","2024","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/news-331919403-4.html","某单位便携式 无人机反制 枪 成交公告 -采招网 2024年12月25日 - 序号 供应商 名称 货物 名称 货物品牌 货物型号 货物数量 货物单价(元) 1 (略) 便携式 无人机 反制枪 详见文件 详见文件 详见文件 详见文件 五、评审专家(... www.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省","反制枪","便携/手持反制设备","反制枪：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2024-0088","未识别","未识别","特警大队无人机反制设备采购项目成交公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2024年04月08日","2024","B-公开转载/行业平台","待复核","https://www.qianlima.com/bid-412879753.html","特警大队 无人机反制 设备采购项目 成交公告 -千里马招标网 2024年4月8日 - 二、项目 名称 :特警大队 无人机 反制设备采购项目. 成交 金额:832000.00元 大写(捌拾叁万贰仟元整)... www.qianlima.com 反馈","脱敏或转载信息不足，未强行归省；原表北京值已剔除","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2024-0089","未识别","未识别","无人机反制 设备采购项目中标结果 公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2024年12月6日","2024","B-公开转载/行业平台","待复核","https://m.bidcenter.com.cn/news-4-327448124.html","无人机反制 设备采购项目中标结果 公告 -采招网 2024年12月6日 - 二、项目 名称 : (略) (略) 无人机 反制设备采购项目.十、凡对本次 公告 内容提出询问,请按以下方式联系... m.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2024-0090","未识别","未识别","无人机反制 设施检测系统项目中标 成交 结果 公告","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2024年7月2日","2024","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/news-294800126-4.html","无人机反制 设施检测系统项目中标 成交 结果 公告 -采招网 2024年7月2日 - 二、项目 名称 : 无人机反制 设施检测系统项目.序号 供应商名称 供应商 地址 中标( 成交 ) 金额 评审总得分 1 天维讯达(北京) (略)实兴 (略) 15号楼1至2... www.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省；原表北京值已剔除","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0091","未识别","未识别","******","侦测反制装备","中标/成交结果","是","公开信息未披露","186.0000 万元","186","公开信息未披露","2025年09月23日","2025","B-公开转载/行业平台","待复核","https://www.chinamae.com/purchases/567ae03600cb204b61a6bdc2ff593907.html","无人机 及 无人机反制 设备采购项目 中标 (成交)结果公示 2025年9月19日 - 供应商对预 中标 (成交)结果如有异议,应当自本公示期限内以书面形式向我部提出质疑。.我部对 无人机 及 无人机反制 设备采购项目采购项目进行了公开招标采购... www.chinamae.com 反馈","脱敏或转载信息不足，未强行归省；原表北京值已剔除","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0092","未识别","未识别","•某部 无人机反制 装备采购项目 中标 结果 公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年1月8日","2025","B-公开转载/行业平台","待复核","https://www.zhaobiaoziyuan.com/detail/677e4b19044491747fb1370a.html","•某部 无人机反制 装备采购项目 中标 结果 公告 _招标资源网 2025年1月8日 - 二、项目名称:某部 无人机 反制装备采购项目.招标资源网提供•某部 无人机反制 装备采购项目 中标 结果 公告 的项目详情,进一步了解项目详细信... 货物单价(元... www.zhaobiaoziyuan.com 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0093","未识别","未识别","采购 无人机反制 设备竞价 成交公告","侦测反制装备","中标/成交结果","是","...","公开信息未披露","","公开信息未披露","2025年6月8日","2025","B-公开转载/行业平台","待复核","https://rl.zhaobiao.cn/succeed_v_dfb78bc391885e3ad7dad921b06ddd6a.html","采购 无人机反制 设备竞价 成交公告 -62025060345672978_中标公告_招标网 2025年6月8日 - 部分信息 基本信息 项目 名称 采购 无人机 反制设备 预算总额(元) * 项目编号 * 报价开始时间 ****-**-** **:** 报价截止时间 ****-**-** **:** 采购单位... rl.zhaobiao.cn 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0094","未识别","未识别","车载 无人机反制 系统改装 中标公告","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年12月3日","2025","B-公开转载/行业平台","待复核","https://www.bidcenter.com.cn/news-393042941-4.html","车载 无人机反制 系统改装 中标公告 -采招网 2025年12月3日 - 货物类 名称 :车载 无人机反制 系统改装.九、凡对本次 公告 内容提出询问,请按以下方式联系... www.bidcenter.com.cn 反馈","脱敏或转载信息不足，未强行归省","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0095","未识别","未识别","关于无人机侦测反制设备采购项目","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年12月14日","2025","B-公开转载/行业平台","待复核","https://www.zhiliaobiaoxun.com/detail/494886464b2e65eaeaed.html","关于 无人机 侦测 反制 设备采购项目的 成交 结果_中标-知了标讯 2025年12月14日 - 于2025-12-14发布中标 公告 -关于 无人机 侦测 反制 设备采购项目的成交结果,采购 无人机 侦测 反制 设... 序号 成交 供应商名称 成交供应商地址 成交金额 (元) 1 ... www.zhiliaobiaoxun.com 反馈","脱敏或转载信息不足，未强行归省；原表北京值已剔除","无人机侦测反制设备","侦测反制装备/设备","无人机侦测反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
