"项目ID","省份","省内城市区域","项目名称","项目类型","项目阶段","是否直接侦测反制相关","发包采购单位","项目金额","金额万元","承建中标单位","中标公告时间","年份","来源等级","字段完整度","来源链接","证据摘要","核验备注","设备名称清单","设备类型清单","设备数量清单","设备规格型号清单","设备品牌清单","设备明细完整度","设备明细来源","设备明细备注"
"LA-2024-0036","江苏","常州","常州市公安局2024年无人机侦测反制设备采购项目","侦测反制装备","中标/成交结果","是","常州市公安局","193.9000 万元","193.9","南京金护警用装备有限公司","2024-07-29","2024","A-官方公告/公共资源","完整","https://zfcg.changzhou.gov.cn/html/ns/class_fscg_zbgg/898718001419495.html","常州市政府采购网中标公告披露：项目编号JSZC-320400-JZCG-G2024-0259，中标金额1939000元。","人工核验补充","无人机侦测反制设备","侦测反制装备/设备","无人机侦测反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2024-0037","江苏","泰州","泰州市公安局巡特警支队无人机侦测反制设备采购项目","侦测反制装备","中标/成交结果","是","泰州市公安局（机关）","78.8000 万元","78.8","广州华警安防科技发展有限公司","2024-09-12","2024","A-官方公告/公共资源","完整","https://czj.taizhou.gov.cn/tzzfcgw/cgxx/sjcgxx/zbcjjggg/cjgg/art/2024/art_b69d7a2834914873a79ded08916bbd97.html","泰州市政府采购网成交公告披露：固定式无人机侦测反制设备，中标/成交金额788000元。","人工核验补充","固定式无人机侦测反制设备","固定式反制/防御设备","固定式无人机侦测反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2024-0038","江苏","未识别","2024年无人机侦测反制设备采购项目中标公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2024-07-29","2024","B-公开转载/行业平台","待复核","https://www.zhiliaobiaoxun.com/detail/444740462b2E5CE70DEa.html","2024年 无人机 侦测 反制设备 采购项目 中标公告 _江苏中标-知了标讯 2024年7月29日 - 无人机 侦测 反制设备 基本信息.南京金护警用装备有限公司 中标 联系人.二、项目名称:2024年无人机侦测 反制设备 采购项目... www.zhiliaobiaoxun.com 反馈","依据项目名/采购人/证据摘要从[北京]校正为[江苏]","无人机侦测反制设备","侦测反制装备/设备","无人机侦测反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2024-0039","江苏","未识别","中国电信 中标 结果: 太湖之鹰 无人机 及 反制 设备采购项目 中标公告 _股票... 2024年11月26日","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2024年11月26日","2024","B-公开转载/行业平台","待复核","https://stock.stockstar.com/RB2024112600036112.shtml","中国电信 中标 结果: 太湖之鹰 无人机 及 反制 设备采购项目 中标公告 _股票... 2024年11月26日 - 二、项目名称: 太湖之鹰 无人机 及 反制 设备采购项目.序号 供应商名称 社会信用代码 供应商地址 评审总得分 中标 /成交金额 1 中国电信股份有限公... stock.stockstar.com 反馈","继承原库并规则复核","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2024-0040","江苏","无锡","无锡市公安局梁溪分局无人机反制系统采购项目","侦测反制系统/平台","中标/成交结果","是","无锡市公安局梁溪分局","56.1000 万元","56.1","无锡蓝天翱翔智能科技有限公司","2024-11-08","2024","B-公开转载/行业平台","完整","https://www.fdzb119.com/zhaobiao/123745.html","公开转载中标公告披露：无人机反制系统采购项目，中标金额561000元。","人工核验补充；待回溯江苏政府采购原文","无人机反制系统","系统平台/管控软件","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0041","江苏","连云港","连云港腾云低空智联低空安防试验示范基地无人机反制装置零部件采购项目","侦测反制装备","中标/成交结果","是","连云港腾云低空智联科技有限公司","89.6000 万元","89.6","连云港润飒科技有限公司","2025-11-05","2025","B-公开转载/行业平台","完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：低空安防试验示范基地无人机反制装置零部件采购，中标金额896000元。","补充检索新增；园区/试验示范基地类","无人机反制装置零部件","侦测反制装备/设备","无人机反制装置零部件：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0042","江苏","未识别","某单位 无人机反制 设备采购项目(中标 公告","侦测反制装备","中标/成交结果","是","某单位","公开信息未披露","","公开信息未披露","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://js.bidizhaobiao.com/info-747498015.html","某单位 无人机反制 设备采购项目(中标 公告 )-江苏招标网 2025年12月1日 - 供应商 分析报告的作用:1、帮助您分析同行或者自身的中标 金额 趋势、项目规模和报价下浮率,为企业投标、报价提供参考,让投标决策更合理;.项目所在地:江... js.bidizhaobiao.com 反馈","继承原库并规则复核","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0043","江苏","未识别","无人机反制 设备(中标 公告","侦测反制服务/租赁","中标/成交结果","是","公开信息未披露","公开信息未披露","","江苏中瀚工程项目管理咨询有限公司","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://js.bidizhaobiao.com/info-527019076.html","无人机反制 设备(中标 公告 )-江苏招标网 2025年12月1日 - 登录即可查看 2.采购代理机构信息 名称 :江苏中瀚工程项目管理咨询有限公司 地址:徐州市泉山区矿大科技园泉山科技楼南四楼 联系方式:登录即可查看 3.项... js.bidizhaobiao.com 反馈","继承原库并规则复核","无人机侦测反制/低空管控服务","服务/租赁","无人机侦测反制/低空管控服务：1项服务","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断服务包；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0044","江苏","未识别","无人机反制 设备采购( 中标公告","侦测反制装备","中标/成交结果","是","公开信息未披露","236000.00 (元)","","云上筋斗(南京)科技有限公司","2025年12月1日","2025","B-公开转载/行业平台","较完整","https://shaanxi.bidizhaobiao.com/info-745858052.html","无人机反制 设备采购( 中标公告 )-陕西招标网 2025年12月1日 - 五、预 中标 (成交) 供应商 :.第一名:云上筋斗(南京)科技有限公司 ,报价形式:总价 ,报价 金额 :236000.00 (元) ;. 供应商 对预中标(成交)结果如有异议,应当自... shaanxi.bidizhaobiao.com 反馈","依据项目名/采购人/证据摘要从[陕西]校正为[江苏]","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2026-0045","江苏","连云港","连云港市公安局车载式无人机反制系统购买中标公告","侦测反制系统/平台","中标/成交结果","是","连云港市公安局","公开信息未披露","","公开信息未披露","2026年4月3日","2026","B-公开转载/行业平台","较完整","https://www.zhiliaobiaoxun.com/article/95096299","连云港市公安局车载式 无人机反制系统 购买 中标公告 2026年4月3日 - 项目名称: 连云港市公安局车载式 无人机反制系统 购买 中标公告 招标公司: 连云港市公安局 中标公司: 江苏丰东信息科技有限公司 采购标的物: 车载式 无人 ... www.zhiliaobiaoxun.com 反馈","依据项目名/采购人/证据摘要从[北京]校正为[江苏]","无人机反制系统","系统平台/管控软件","无人机反制系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2026-0046","江苏","南京","江苏省龙潭监狱无人机反制设备采购项目","侦测反制装备","中标/成交结果","是","江苏省龙潭监狱","2.8789 万元","2.8789","南京冠航智能科技有限公司","2026-02-06","2026","B-公开转载/行业平台","完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：江苏省龙潭监狱无人机反制设备采购，成交金额28789元。","补充检索新增；监狱敏感目标类","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
