"项目ID","省份","省内城市区域","项目名称","项目类型","项目阶段","是否直接侦测反制相关","发包采购单位","项目金额","金额万元","承建中标单位","中标公告时间","年份","来源等级","字段完整度","来源链接","证据摘要","核验备注","设备名称清单","设备类型清单","设备数量清单","设备规格型号清单","设备品牌清单","设备明细完整度","设备明细来源","设备明细备注"
"LA-2023-0125","浙江","杭州","浙江工商大学文体中心亚运手球馆无人机反制预警设备租赁服务","侦测反制服务/租赁","中标/成交结果","是","浙江工商大学","公开信息未披露","","公开信息未披露","2023-05-24","2023","A-官方公告/公共资源","较完整","https://cgzx.zjgsu.edu.cn/4738/list35.psp","浙江工商大学采购中心中标公告列表披露：浙江工商大学文体中心亚运手球馆无人机反制预警设备租赁服务成交结果公告，项目编号0625-23218448。","漏检补充；亚运场馆显性重大活动保障项目，列表页可证实成交公告存在但金额/供应商需继续回溯详情页","无人机反制预警设备租赁服务","服务/租赁","无人机反制预警设备租赁服务：1项服务","公开信息未披露","公开信息未披露","部分明细","项目名称披露租赁服务；具体设备数量未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2023-0126","浙江","温州","瑞安市公安局便携式无人机防御反制设备采购项目","侦测反制系统/平台","中标/成交结果","是","瑞安市公安局","102.1000 万元","102.1","中国联合网络通信有限公司温州市分公司","2023-07-17","2023","B-公开转载/行业平台","完整","https://www.fdzb119.com/zhaobiao/70037.html","公开转载：投标总价1021000元，含手提式侦测定位、多用途反制、穿越机反制、便携式侦测反制和管控平台","继承原库并规则复核；专项样本原文为成交/中标结果页","无人机防御反制设备","便携/手持反制设备","无人机防御反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2023-0127","浙江","温州","温州奥体中心安保专项-无人机反制设备采购项目","侦测反制装备","中标/成交结果","是","温州市龙湾区体育事业发展中心","98.0000 万元","98","中国联合网络通信有限公司温州市分公司","2023-08-21","2023","A-官方公告/公共资源","完整","https://ggzyjy-eweb.wenzhou.gov.cn/art/2023/8/21/art_1229678301_28546.html","温州市公共资源交易网：投标报价980000元，采购人为温州市龙湾区体育事业发展中心","继承原库并规则复核；专项样本原文为成交/中标结果页","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2024-0128","浙江","海盐","海盐县公安局 无人机反制 设备采购项目( 中标公告","侦测反制装备","中标/成交结果","是","海盐县公安局","公开信息未披露","","公开信息未披露","2024年11月20日","2024","B-公开转载/行业平台","较完整","http://zj.bidizhaobiao.com/info-557598739.html","海盐县公安局 无人机反制 设备采购项目( 中标公告 )-浙江招标网 2024年11月20日 - 序号 标项 名称 标的 名称 品牌 数量 单价(元) 规格型号 1 海盐县公安局 无人机 反制设备采购项目 海盐县公安局 无人机 反制设备采购项目 详见附件 1 849000... zj.bidizhaobiao.com 反馈","继承原库并规则复核","无人机侦测反制设备/装备","侦测反制装备/设备","无人机侦测反制设备/装备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目名称/项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2024-0129","浙江","绍兴","绍兴市公安局上虞区分局无人机反制设备采购项目（第二次）","侦测反制装备","中标/成交结果","是","绍兴市公安局上虞区分局","50.0000 万元","50","苏州璟鞍科技有限公司","2024-08-08","2024","B-公开转载/行业平台","完整","https://www.fdzb119.com/zhaobiao/111762.html","公开转载：报价500000元，供应商苏州璟鞍科技有限公司","继承原库并规则复核；专项样本原文为成交/中标结果页","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2024-0130","浙江","舟山","无人机侦测反制设备采购（重新招标）","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","43.5400 万元","43.54","中国电信股份有限公司舟山分公司","2024-11-02","2024","A-官方公告/公共资源","较完整","https://www.zgggzy.com/jieguo/show.php?itemid=30831","公开转载：报价435400元，含低空安全管理平台、无线电侦测设备、定向无线电干扰设备","继承原库并规则复核；专项样本原文为成交/中标结果页","无人机侦测反制设备","侦测探测设备","无人机侦测反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0131","浙江","定海","定海区 无人机反制 系统竞价 成交 公告-浙江招标网 2025年3月10日","侦测反制系统/平台","中标/成交结果","是","某单位","公开信息未披露","","公开信息未披露","2025年3月10日","2025","B-公开转载/行业平台","较完整","https://zj.bidcenter.com.cn/zbcontent-351328614-4.html","定海区 无人机反制 系统竞价 成交 公告-浙江招标网 2025年3月10日 - 项目名称 无人机 反制系统 预算总额(元) (略) 项目编号 (略)19 报价开始时间 2025-02-26 12:22 报价截止时间 2025-03-05 18:00 采购单位 某单位 采购单... zj.bidcenter.com.cn 反馈","继承原库并规则复核","无人机侦测反制系统/平台","系统平台/管控软件","无人机侦测反制系统/平台：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","按项目类型推断；具体设备未披露","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0132","浙江","杭州","浙江警官职业学院监狱无人机探测与反制实训系统建设项目","侦测反制系统/平台","中标/成交结果","是","浙江警官职业学院","公开信息未披露","","公开信息未披露","2025-12-04","2025","A-官方公告/公共资源","较完整","https://www.zjjy.com.cn/info/1068/40874.htm","浙江警官职业学院官网发布监狱无人机探测与反制实训系统建设中标结果公告。","补充检索新增；敏感目标/实训系统类","无人机探测与反制实训系统","系统平台/管控软件","无人机探测与反制实训系统：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0133","浙江","柯桥","柯桥区 无人机反制设备 采购 中标 成交结果 公告","侦测反制装备","中标/成交结果","是","公开信息未披露","公开信息未披露","","公开信息未披露","2025年11月21日","2025","B-公开转载/行业平台","待复核","https://zj.bidcenter.com.cn/zbcontent-390623194-4.html","柯桥区 无人机反制设备 采购 中标 成交结果 公告 -浙江招标网 2025年11月21日 - 二、项目名称: (略) (略) (略) 无人机 反制设备采购.1.各参加政府采购活动的供应商认为该 中标 /成交结果和采购过程等使自己的权益受到损害的,可以自本 公 ... zj.bidcenter.com.cn 反馈","继承原库并规则复核","无人机反制设备","侦测反制装备/设备","无人机反制设备：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
"LA-2025-0134","浙江","丽水","丽水市公安局丽水机场低空防御服务项目合同","侦测反制服务/租赁","合同公告","是","丽水市公安局","公开信息未披露","","中国移动通信集团浙江有限公司丽水分公司","2025-12-11","2025","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：丽水机场低空防御服务项目合同，供应商中国移动浙江丽水分公司。","补充检索新增；机场敏感目标类","低空防御服务","系统平台/管控软件","低空防御服务：公开信息未披露","公开信息未披露","公开信息未披露","仅项目级推断","项目名称/证据摘要关键词抽取；公开信息未见数量","数量仅在公告/证据明确披露时填写；未披露的不按金额或经验倒推"
