"省份","中标项目数","完整记录数","较完整记录数","待复核记录数","官方来源记录数","可解析金额项目数","可解析金额合计万元","设备明细较完整项目数","设备部分明细项目数","设备仅项目级推断项目数"
"未识别","22","0","0","22","1","1","186","0","0","22"
"浙江","17","9","6","2","6","10","2368.5034","1","1","15"
"新疆","12","2","6","4","3","4","244.68","0","1","11"
"江苏","11","5","4","2","2","5","421.2789","0","0","11"
"广东","11","5","5","1","5","5","1145.2744","0","3","8"
"四川","9","6","3","0","7","7","1313.8134","1","1","7"
"陕西","9","2","5","2","4","5","378.52","1","1","7"
"内蒙古","9","4","4","1","5","6","1945.107","1","0","8"
"云南","6","4","2","0","1","4","282.1372","0","0","6"
"山东","6","0","4","2","0","0","0","0","0","6"
"安徽","6","3","3","0","2","4","320.5","2","2","2"
"黑龙江","5","1","4","0","0","1","157.8189","0","0","5"
"贵州","5","0","3","2","0","1","36.97","0","0","5"
"甘肃","5","3","2","0","1","5","1013.5144","2","0","3"
"山西","4","0","2","2","1","1","41.7","0","0","4"
"江西","4","2","2","0","1","3","227.61","0","0","4"
"辽宁","4","1","2","1","0","1","224.985","0","0","4"
"福建","3","1","1","1","0","1","1757.18","0","0","3"
"湖北","2","0","2","0","1","0","0","0","0","2"
"河北","2","1","1","0","0","1","279.5","0","0","2"
"北京","2","0","2","0","0","1","105","0","1","1"
"重庆","2","1","1","0","0","2","107.8","0","1","1"
"宁夏","2","1","1","0","1","1","59.8","0","1","1"
"上海","2","1","1","0","1","1","99","0","2","0"
"青海","1","0","1","0","0","0","0","0","0","1"
"西藏","1","1","0","0","1","1","212.9","0","0","1"
"湖南","1","0","0","1","0","0","0","0","0","1"
"广西","1","0","1","0","0","0","0","0","0","1"
"吉林","1","0","1","0","0","1","48.28","0","0","1"
