"省份","省内城市区域","项目名称","项目类型","项目阶段","是否直接侦测反制相关","发包采购单位","项目金额","金额万元","承建中标单位","中标公告时间","年份","来源等级","字段完整度","来源链接","证据摘要","核验备注"
"广东","珠海横琴","横琴粤澳深度合作区公安局重大活动安保无人机防控服务政府采购项目","侦测反制服务/租赁","中标/成交结果","是","横琴粤澳深度合作区公安局","157.2875 万元","157.2875","中国移动通信集团广东有限公司珠海分公司","2024-12-18","2024","A-官方公告/公共资源","完整","https://hengqin.gd.gov.cn/gkmlpt/content/4/4617/post_4617550.html","广东政府公开页面披露：重大活动安保无人机防控服务，中标供应商中国移动广东珠海分公司，中标金额1,572,875.00元。","补充检索新增；重大活动保障类"
"广东","广州","南方电网公司2025年第三批无人机设备及相关附件框架采购项目（固定式无人机主动防御系统、便携式无人机反制装置）","侦测反制装备","中标/成交结果","是","中国南方电网有限责任公司/南方电网供应链集团有限公司","公开信息未披露","","南方电网电力科技股份有限公司","2025-12-09","2025","A-官方公告/公共资源","较完整","https://www.bidding.csg.cn/zbhxrgs/1200396902.jhtml","南方电网供应链平台中标公示披露：标的含固定式无人机主动防御系统A、便携式无人机反制装置B，中标候选人为南方电网电力科技股份有限公司。","补充检索新增；能源敏感目标类"
"甘肃","兰州","甘肃煤田地质局综合普查队固定式无人机侦测反制系统中标公告","侦测反制系统/平台","中标/成交结果","是","甘肃煤田地质局综合普查队","100.5000 万元","100.5","兰州未徕同创测绘科技有限公司","2025-11-05","2025","B-公开转载/行业平台","完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：固定式无人机侦测反制系统，中标单位兰州未徕同创测绘科技有限公司，中标金额100.5万元。","补充检索新增；待回溯官方原文"
"江苏","连云港","连云港腾云低空智联低空安防试验示范基地无人机反制装置零部件采购项目","侦测反制装备","中标/成交结果","是","连云港腾云低空智联科技有限公司","89.6000 万元","89.6","连云港润飒科技有限公司","2025-11-05","2025","B-公开转载/行业平台","完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：低空安防试验示范基地无人机反制装置零部件采购，中标金额896000元。","补充检索新增；园区/试验示范基地类"
"宁夏","石嘴山","石嘴山市公安局无人机教培、警务应用及反制项目","侦测反制系统/平台","中标/成交结果","是","石嘴山市公安局","公开信息未披露","","宁夏中宇网安科技有限公司","2025-05-09","2025","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：无人机教培、警务应用及反制项目，中标单位宁夏中宇网安科技有限公司。","补充检索新增；待回溯宁夏政府采购原文"
"浙江","杭州","浙江警官职业学院监狱无人机探测与反制实训系统建设项目","侦测反制系统/平台","中标/成交结果","是","浙江警官职业学院","公开信息未披露","","公开信息未披露","2025-12-04","2025","A-官方公告/公共资源","较完整","https://www.zjjy.com.cn/info/1068/40874.htm","浙江警官职业学院官网发布监狱无人机探测与反制实训系统建设中标结果公告。","补充检索新增；敏感目标/实训系统类"
"安徽","黄山","黄山市公安局黄山分局H2LPro手持式无人机探测定位设备采购项目","侦测反制装备","中标/成交结果","是","黄山市公安局黄山分局","6.0000 万元","6.0","公开信息未披露","2026-02-02","2026","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：华诺星空H2LPro手持式无人机探测定位设备，成交金额60000元。","补充检索新增；待回溯官方原文"
"广东","惠州","惠州市公安局大亚湾经济技术开发区分局大亚湾石化区天海地一体化综合防控系统建设项目（第二次）","侦测反制系统/平台","中标/成交结果","是","惠州市公安局大亚湾经济技术开发区分局","公开信息未披露","","公开信息未披露","2025-12-15","2025","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：标的含低空防御雷达显控软件、无人机防御察打一体机等。","补充检索新增；石化区敏感目标类"
"北京","石景山","无人机领域综合科研专项-无人机学院实验室建设采购项目","侦测反制系统/平台","中标/成交结果","是","公开信息未披露","公开信息未披露","","北京君锋泰业科技有限公司","2025-11-21","2025","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：项目含低空防御管控平台、无人机管制干扰枪等，中标单位北京君锋泰业科技有限公司。","补充检索新增；科研/实训平台类"
"湖北","武汉","武汉东湖新技术开发区分局光谷马拉松无人机反制租赁服务项目","侦测反制服务/租赁","中标/成交结果","是","武汉东湖新技术开发区分局","公开信息未披露","","武汉优一硕智能应用科技有限公司","2025-10-20","2025","B-公开转载/行业平台","较完整","https://www.bbda.com/bidList/k1295","公开招投标信息披露：光谷马拉松无人机反制租赁服务，供应商武汉优一硕智能应用科技有限公司。","补充检索新增；重大活动保障类"
