"Project","Location","Type","Buyer","Amount","AmountWan","Contractor","AwardTime","Source","Confidence","Evidence"
"温州奥体中心安保专项-无人机反制设备采购项目","浙江-温州","重大活动/场馆安保","温州市龙湾区体育事业发展中心","98.0000 万元","98","中国联合网络通信有限公司温州市分公司","2023-08-21","https://ggzyjy-eweb.wenzhou.gov.cn/art/2023/8/21/art_1229678301_28546.html","A-官方公告","温州市公共资源交易网：投标报价980000元，采购人为温州市龙湾区体育事业发展中心"
"瑞安市公安局便携式无人机防御反制设备采购项目","浙江-温州-瑞安","公共安全/警用装备","瑞安市公安局","102.1000 万元","102.1","中国联合网络通信有限公司温州市分公司","2023-07-17","https://www.fdzb119.com/zhaobiao/70037.html","B-公开转载","公开转载：投标总价1021000元，含手提式侦测定位、多用途反制、穿越机反制、便携式侦测反制和管控平台"
"绍兴市公安局上虞区分局无人机反制设备采购项目（第二次）","浙江-绍兴-上虞","公共安全/警用装备","绍兴市公安局上虞区分局","50.0000 万元","50","苏州璟鞍科技有限公司","2024-08-08","https://www.fdzb119.com/zhaobiao/111762.html","B-公开转载","公开转载：报价500000元，供应商苏州璟鞍科技有限公司"
"天台县公安局无人机侦测打击系统项目","浙江-台州-天台","侦测反制系统/平台","天台县公安局","164.0000 万元","164","中国移动通信集团浙江有限公司台州分公司","2025-05-26","https://www.zjtt.gov.cn/art/2025/5/26/art_1229796762_59180589.html","A-官方公告","天台县公共资源交易中心：报价1640000元，供应商中国移动台州分公司"
"天台县公安局无人机侦测打击系统项目（第二次）","浙江-台州-天台","侦测反制系统/平台","天台县公安局","203.0312 万元","203.0312","中国联合网络通信有限公司台州市分公司","2025-10-10","https://www.zjtt.gov.cn/art/2025/10/10/art_1229796762_59184273.html","A-官方公告","天台县公共资源交易中心：报价2030312元，含历正科技、浙江凡双等设备"
"无人机侦测反制设备采购（重新招标）","浙江-舟山","侦测反制装备","公开信息未披露","43.5400 万元","43.54","中国电信股份有限公司舟山分公司","2024-11-02","https://www.zgggzy.com/jieguo/show.php?itemid=30831","B-公开转载","公开转载：报价435400元，含低空安全管理平台、无线电侦测设备、定向无线电干扰设备"
"浙江公司宁海电厂固定式无人机反制设备采购","浙江-宁波-宁海","能源设施防护","国能浙江宁海发电有限公司","公开信息未披露",,"上海中广核工程科技有限公司","2021-12-27","https://www.fdzb119.com/zhaobiao/54527.html","B-公开转载","公开转载：招标编号CEZB210607682，中标人为上海中广核工程科技有限公司"
"萧山机场反无人机扰航能力示范建设项目设计","浙江-杭州-萧山机场","机场净空/示范建设","浙江省低空产业发展有限公司","公开信息未披露",,"华信咨询设计研究院有限公司","2025-06-06","https://ebid.zjairports.com/sdny_winningperson/2025-06-06/22186.html","A-官方公告","浙江省机场集团招标管理系统：设计项目中标候选人为华信咨询设计研究院有限公司"
"萧山机场反无人机扰航能力示范建设项目全过程咨询采购项目","浙江-杭州-萧山机场","机场净空/示范建设咨询","浙江省低空产业发展有限公司","公开信息未披露",,"浙江省发展规划研究院","2025-05-16","https://ebid.zjairports.com/sdny_winningperson/2025-05-16/21601.html","A-官方公告","浙江省机场集团招标管理系统：全过程咨询采购项目中标候选人为浙江省发展规划研究院"
"萧山机场反无人机扰航能力示范建设项目设备采购预公告","浙江-杭州-萧山机场","机场净空/设备采购预公告","浙江省低空产业发展有限公司","公开信息未披露",,"未到中标阶段","2025-07-08（预公告）","https://ebid.zjairports.com/sdny_bulletin/2025-07-08/23295.html","A-官方公告","招标预公告：范围包括雷达、光电、无线电频谱侦测、RID、固定/便携式电子压制、激光、物理拦截等"
"泸州军分区民兵反无人机排装备器材采购项目","四川-泸州","公共安全/民兵反无人机装备","泸州市应急管理局","134.4444 万元","134.4444","成都构玩居游乐设备有限公司","2025-07-29","https://ggzyjy.sc.gov.cn/jyxx/002002/002002003/20250729/8a69ce2d984c25900198500cbd1c06b7.html","A-官方公告","四川省公共资源交易信息网：中标金额1344444元，含频谱侦测、固定式反制、察打一体、便携式反制和智能管控平台"
"泸州机场（集团）有限责任公司无人机反制设备采购项目成交候选人公示","四川-泸州-云龙机场","机场净空/无人机反制","泸州机场（集团）有限责任公司","公开信息未披露",,"公开信息未披露","2021-12-28","https://www.luzhouairport.com/content/2372.html","A-官方网页线索","泸州机场官网搜索摘要：无人机反制设备采购项目成交候选人公示，发布时间2021-12-28"
"泸州机场（集团）有限责任公司无人机反制设备采购项目公开比选公告","四川-泸州-云龙机场","机场净空/无人机反制采购公告","泸州机场（集团）有限责任公司","公开信息未披露",,"未到中标阶段","2021-12-15（公告）","https://www.luzhouairport.com/list/13.html?page=3","A-官方网页线索","泸州机场官网列表：项目编号0773-2141GNSCHWQT3720，公开比选公告"
"泸州机场与泸州机场公安分局组织无人机反制演训","四川-泸州-云龙机场","运行演练/需求线索","泸州机场（集团）有限责任公司、泸州机场公安分局","非采购金额",,"非采购项目","2019-09-27（动态）","https://www.luzhouairport.com/list/4.html?page=23","A-官方网页线索","泸州机场官网动态：机场与公安分局组织无人机反制演训，说明机场场景长期存在反制能力需求"
